1,واحد
2,إثنان
3,ثلاثة
4,أربع
5,خمس
6,ست
7,سبع
8,ثمان
9,تسع
10,عَشَر	
11,أحَدَ عَشَر	
12,إثنا عَشَر	
13,ثلاثة عَشَر	
14,أربَعة عَشَر	
15,خَمْسة عَشَر	
16,سِتّة عَشَر	
17,سَبْعة عَشَر	
18,ثَمانية عَشَر	
19,تِسْعة عَشَر	
